Material,Category,Description
Expanded polystyrene (EPS),Lightweight Aggregate,Recycled EPS beads for lightweight insulating concrete.
Expanded shale,Lightweight Aggregate,Aggregate used for lightweight durable concrete.
Perlite,Lightweight Aggregate,Natural volcanic glass used for lightweight and insulating concrete.
Vermiculite,Lightweight Aggregate,Mineral additive for thermal insulation and fire resistance.
Other,Lightweight Aggregate,Something considered a Lightweight Aggregate but not in the List.
Colloidal silica,Nanomaterial,Improves durability and pore refinement.
Nano-silica,Nanomaterial,Improves microstructure strength and durability.
Carbon black,Nanomaterial,Enhances electrical conductivity for self-sensing concrete.
Carbon nanotubes,Nanomaterial,Used for enhancing tensile strength and durability at the nanoscale.
Graphene,Nanomaterial,Improves strength electrical conductivity and durability.
Titanium dioxide (TiO2),Nanomaterial,Used for photocatalytic and self-cleaning properties.
Titanium-based additives,Nanomaterial,Improves strength and enhances self-cleaning properties.
Other,Nanomaterial,Something considered a Nanomaterial but not in the List.
Epoxy resins,Polymer Material,Used in coatings adhesives and repair mortars.
Other,Polymer Material,Something considered a Polymer Material but not in the List.
Steel reinforcement bars,Reinforcement,Standard reinforcement for structural concrete.
Fibers (steel glass basalt),Reinforcement,Added to concrete to improve tensile strength and reduce cracking.
High-strength steel strands,Reinforcement,Used in prestressed and post-tensioned concrete applications.
Polypropylene fibers,Reinforcement,Synthetic fibers for enhanced durability and crack control.
Synthetic fibers (e.g. nylon),Reinforcement,Enhances flexural strength and crack control.
Carbon fibers,Reinforcement,Improves tensile strength and electrical conductivity.
Cellulose fibers,Reinforcement,Enhances durability and reduces shrinkage cracking.
Polyvinyl alcohol (PVA) fibers,Reinforcement,Used in engineered cementitious composites (ECC).
Recycled wood fibers,Reinforcement,Used in eco-friendly concrete mixes.
Other,Reinforcement,Something considered a Reinforcement Material but not in the List.
Fly ash,Supplementary Cementitious Material (SCM),By-product of coal combustion used as a partial cement replacement.
Slag cement (GGBFS),Supplementary Cementitious Material (SCM),Ground granulated blast furnace slag enhances strength and durability.
Silica fume,Supplementary Cementitious Material (SCM),Ultrafine by-product improves strength and reduces permeability.
Pozzolanic materials,Supplementary Cementitious Material (SCM),Reacts with calcium hydroxide to improve properties of concrete.
Blast furnace slag,Supplementary Cementitious Material (SCM),Industrial by-product ground for strength improvement.
Metakaolin,Supplementary Cementitious Material (SCM),Calcined clay enhances durability and strength.
Fumed silica,Supplementary Cementitious Material (SCM),Enhances strength and reduces porosity.
Kaolinite clay,Supplementary Cementitious Material (SCM),Natural clay material calcined for pozzolanic properties.
Natural pozzolans,Supplementary Cementitious Material (SCM),Includes volcanic ash and other natural materials.
Rice husk ash,Supplementary Cementitious Material (SCM),Agricultural by-product with pozzolanic properties.
Palm oil fuel ash (POFA),Supplementary Cementitious Material (SCM),By-product of palm oil industry used as cement replacement.
Recycled glass powder,Supplementary Cementitious Material (SCM),Finely ground glass for strength enhancement.
Zeolites,Supplementary Cementitious Material (SCM),Improves adsorption and durability in concrete.
Sewage sludge ash,Supplementary Cementitious Material (SCM),By-product from wastewater treatment plants used as SCM.
Sugarcane bagasse ash,Supplementary Cementitious Material (SCM),By-product of sugarcane industry enhances strength and durability.
Wood ash,Supplementary Cementitious Material (SCM),Waste ash from wood combustion used in concrete mixes.
Other,Supplementary Cementitious Material (SCM),Something considered a SCM but not in the List.
Silane,Surface Treatment,Improves hydrophobic properties and durability of concrete surfaces.
Other,Surface Treatment,Something considered a Surface Treatment but not in the List.
Siloxane,Surface Treatment,Enhances water repellency of concrete.
